_P_;_x_;_y_;z_offset_0.01mm
001;045;045;50
002;055;045;49
003;065;045;51
004;075;045;52
005;085;045;54
006;095;045;54
007;105;045;54
008;115;045;55
009;125;045;55
010;135;045;58
011;145;045;58
012;155;045;58
013;165;045;58
014;175;045;59
015;185;045;60
016;195;045;60
017;205;045;62
018;215;045;61
019;225;045;62
020;235;045;63
021;235;055;61
022;225;055;60
023;215;055;60
024;205;055;61
025;195;055;57
026;185;055;59
027;175;055;57
028;165;055;56
029;155;055;56
030;145;055;56
031;135;055;56
032;125;055;54
033;115;055;54
034;105;055;52
035;095;055;53
036;085;055;51
037;075;055;50
038;065;055;50
039;055;055;47
040;045;060;48
041;045;065;46
042;055;065;46
043;065;065;48
044;075;065;49
045;085;065;50
046;095;065;52
047;105;065;51
048;115;065;52
049;125;065;53
050;135;065;55
051;145;065;55
052;155;065;55
053;165;065;55
054;175;065;57
055;185;065;57
056;195;065;56
057;205;065;60
058;215;065;59
059;225;065;59
060;235;065;60
061;235;075;59
062;225;075;57
063;215;075;57
064;205;075;58
065;195;075;55
066;185;075;56
067;175;075;55
068;165;075;54
069;155;075;53
070;145;075;54
071;135;075;54
072;125;075;50
073;115;075;50
074;105;075;49
075;095;075;49
076;085;075;47
077;075;075;47
078;065;075;46
079;055;075;45
080;045;075;45
081;045;085;45
082;055;085;45
083;065;085;46
084;075;085;47
085;085;085;47
086;095;085;49
087;105;085;49
088;115;085;50
089;125;085;50
090;135;085;54
091;145;085;53
092;155;085;53
093;165;085;52
094;175;085;54
095;185;085;54
096;195;085;53
097;205;085;55
098;215;085;55
099;225;085;56
100;235;085;57
101;235;095;55
102;225;095;54
103;215;095;54
104;205;095;55
105;195;095;51
106;185;095;53
107;175;095;52
108;165;095;51
109;155;095;51
110;145;095;52
111;135;095;53
112;125;095;49
113;115;095;49
114;105;095;49
115;095;095;50
116;085;095;47
117;075;095;47
118;065;095;47
119;055;095;45
120;045;095;46
121;045;105;46
122;055;105;45
123;065;105;47
124;075;105;47
125;085;105;47
126;095;105;49
127;105;105;48
128;115;105;49
129;125;105;49
130;135;105;52
131;145;105;52
132;155;105;51
133;165;105;51
134;175;105;51
135;185;105;52
136;195;105;51
137;205;105;54
138;215;105;54
139;225;105;54
140;235;105;54
141;235;115;54
142;225;115;53
143;215;115;53
144;205;115;53
145;195;115;49
146;185;115;51
147;175;115;51
148;165;115;49
149;155;115;50
150;145;115;51
151;135;115;52
152;125;115;48
153;115;115;48
154;105;115;46
155;095;115;47
156;085;115;46
157;075;115;46
158;065;115;46
159;055;115;44
160;045;115;45
161;045;125;44
162;055;125;44
163;065;125;46
164;075;125;46
165;085;125;46
166;095;125;47
167;105;125;46
168;115;125;48
169;125;125;48
170;135;125;52
171;145;125;51
172;155;125;50
173;165;125;49
174;175;125;51
175;185;125;51
176;195;125;49
177;205;125;53
178;215;125;53
179;225;125;53
180;235;125;54
181;235;135;54
182;225;135;52
183;215;135;51
184;205;135;53
185;195;135;49
186;185;135;50
187;175;135;49
188;165;135;49
189;155;135;49
190;145;135;50
191;135;135;50
192;125;135;46
193;115;135;46
194;105;135;45
195;095;135;46
196;085;135;44
197;075;135;44
198;065;135;43
199;055;135;41
200;045;135;42
201;045;145;40
202;055;145;41
203;065;145;43
204;075;145;45
205;085;145;44
206;095;145;46
207;105;145;45
208;115;145;46
209;125;145;46
210;135;145;49
211;145;145;49
212;155;145;48
213;165;145;48
214;175;145;49
215;185;145;50
216;195;145;48
217;205;145;52
218;215;145;50
219;225;145;50
220;235;145;51
221;235;155;51
222;225;155;50
223;215;155;49
224;205;155;50
225;195;155;46
226;185;155;48
227;175;155;48
228;165;155;47
229;155;155;46
230;145;155;47
231;135;155;48
232;125;155;45
233;115;155;45
234;105;155;44
235;095;155;44
236;085;155;43
237;075;155;43
238;065;155;42
239;055;155;49
240;045;155;40
241;045;165;42
242;055;165;42
243;065;165;45
244;075;165;45
245;085;165;45
246;095;165;45
247;105;165;45
248;115;165;45
249;125;165;45
250;135;165;47
251;145;165;47
252;155;165;46
253;165;165;46
254;175;165;47
255;185;165;47
256;195;165;46
257;205;165;49
258;215;165;49
259;225;165;49
260;235;165;49
261;235;175;48
262;225;175;48
263;215;175;47
264;205;175;49
265;195;175;46
266;185;175;47
267;175;175;46
268;165;175;46
269;155;175;46
270;145;175;47
271;135;175;47
272;125;175;44
273;115;175;44
274;105;175;43
275;095;175;44
276;085;175;43
277;075;175;44
278;065;175;42
279;055;175;41
280;045;175;42
281;045;185;41
282;055;185;40
283;065;185;42
284;075;185;42
285;085;185;43
286;095;185;44
287;105;185;43
288;115;185;43
289;125;185;45
290;135;185;46
291;145;185;46
292;155;185;46
293;165;185;46
294;175;185;46
295;185;185;46
296;195;185;46
297;205;185;48
298;215;185;47
299;225;185;48
300;235;185;49
301;235;195;49
302;225;195;48
303;215;195;47
304;205;195;48
305;195;195;45
306;185;195;47
307;175;195;46
308;165;195;46
309;155;195;46
310;145;195;47
311;135;195;47
312;125;195;44
313;115;195;45
314;105;195;41
315;095;195;43
316;085;195;43
317;075;195;43
318;065;195;43
319;055;195;40
320;045;195;41
321;045;205;40
322;055;205;40
323;065;205;42
324;075;205;42
325;085;205;42
326;095;205;43
327;105;205;43
328;115;205;44
329;125;205;44
330;135;205;47
331;145;205;47
332;155;205;47
333;165;205;46
334;175;205;46
335;185;205;47
336;195;205;45
337;205;205;48
338;215;205;47
339;225;205;48
340;235;205;48
341;235;215;48
342;225;220;47
343;215;220;47
344;205;220;48
345;195;220;45
346;185;220;47
347;175;220;46
348;165;220;46
349;155;220;46
350;145;220;47
351;135;220;47
352;125;220;44
353;115;220;44
354;105;220;42
355;095;220;44
356;085;220;42
357;075;220;42
358;065;220;41
359;055;220;40
360;045;220;41
361;045;225;44
362;055;225;43
363;065;225;45
364;075;225;45
365;085;225;45
366;095;225;45
367;105;225;45
368;115;225;46
369;125;225;45
370;135;225;48
371;145;225;47
372;155;225;47
373;165;225;46
374;175;225;47
375;185;225;47
376;195;225;46
377;205;225;48
378;215;225;47
379;225;225;47
380;235;225;47
381;235;235;46
382;225;235;46
383;215;235;46
384;205;235;48
385;195;235;45
386;185;235;47
387;175;235;47
388;165;235;47
389;155;235;46
390;145;235;47
391;135;235;48
392;125;235;45
393;115;235;45
394;105;235;44
395;095;235;46
396;085;235;45
397;075;235;45
398;065;235;45
399;055;235;44
400;045;235;46
