_P_;_x_;_y_;z_offset_0.01mm
001;120;120;25
002;122;120;23
003;124;120;24
004;126;120;24
005;128;120;20
006;130;120;25
007;132;120;21
008;134;120;27
009;136;120;26
010;138;120;26
011;140;120;25
012;142;120;20
013;144;120;25
014;146;120;20
015;148;120;20
016;150;120;13
017;152;120;25
018;154;120;20
019;156;120;25
020;158;120;20
021;158;122;13
022;156;122;26
023;154;122;25
024;152;122;21
025;150;122;22
026;148;122;22
027;146;122;19
028;144;122;24
029;142;122;29
030;140;122;16
031;138;122;24
032;136;122;27
033;134;122;21
034;132;122;18
035;130;122;25
036;128;122;17
037;126;122;20
038;124;122;24
039;122;122;15
040;120;122;15
041;120;124;20
042;122;124;23
043;124;124;23
044;126;124;20
045;128;124;21
046;130;124;14
047;132;124;24
048;134;124;22
049;136;124;28
050;138;124;21
051;140;124;23
052;142;124;22
053;144;124;28
054;146;124;22
055;148;124;25
056;150;124;18
057;152;124;14
058;154;124;22
059;156;124;13
060;158;124;21
061;158;126;23
062;156;126;17
063;154;126;17
064;152;126;21
065;150;126;19
066;148;126;22
067;146;126;26
068;144;126;28
069;142;126;24
070;140;126;22
071;138;126;28
072;136;126;20
073;134;126;25
074;132;126;22
075;130;126;18
076;128;126;16
077;126;126;17
078;124;126;13
079;122;126;22
080;120;126;16
081;120;128;20
082;122;128;16
083;124;128;21
084;126;128;23
085;128;128;19
086;130;128;19
087;132;128;17
088;134;128;14
089;136;128;24
090;138;128;25
091;140;128;24
092;142;128;27
093;144;128;19
094;146;128;28
095;148;128;21
096;150;128;20
097;152;128;19
098;154;128;15
099;156;128;22
100;158;128;17
101;158;130;22
102;156;130;25
103;154;130;25
104;152;130;22
105;150;130;25
106;148;130;20
107;146;130;21
108;144;130;24
109;142;130;20
110;140;130;28
111;138;130;26
112;136;130;21
113;134;130;18
114;132;130;24
115;130;130;21
116;128;130;20
117;126;130;22
118;124;130;19
119;122;130;20
120;120;130;24
121;120;132;20
122;122;132;20
123;124;132;14
124;126;132;16
125;128;132;18
126;130;132;17
127;132;132;17
128;134;132;19
129;136;132;23
130;138;132;29
131;140;132;25
132;142;132;17
133;144;132;15
134;146;132;20
135;148;132;26
136;150;132;21
137;152;132;24
138;154;132;21
139;156;132;24
140;158;132;19
141;158;134;23
142;156;134;22
143;154;134;26
144;152;134;25
145;150;134;24
146;148;134;14
147;146;134;20
148;144;134;29
149;142;134;25
150;140;134;28
