_P_;_x_;_y_;z_offset_0.01mm
001;120.0;120.0;28
002;120.2;120.0;27
003;120.4;120.0;29
004;120.6;120.0;32
005;120.8;120.0;31
006;121.0;120.0;29
007;121.2;120.0;29
008;121.4;120.0;32
009;121.6;120.0;31
010;121.8;120.0;33
011;122.0;120.0;36
012;122.2;120.0;35
013;122.4;120.0;32
014;122.6;120.0;29
015;122.8;120.0;32
016;123.0;120.0;33
017;123.2;120.0;35
018;123.4;120.0;36
019;123.6;120.0;36
020;123.8;120.0;37
021;123.8;120.2;32
022;123.6;120.2;30
023;123.4;120.2;34
024;123.2;120.2;32
025;123.0;120.2;28
026;122.8;120.2;30
027;122.6;120.2;34
028;122.4;120.2;34
029;122.2;120.2;33
030;122.0;120.2;31
031;121.8;120.2;36
032;121.6;120.2;37
033;121.4;120.2;32
034;121.2;120.2;31
035;121.0;120.2;30
036;120.8;120.2;34
037;120.6;120.2;36
038;120.4;120.2;37
039;120.2;120.2;34
040;120.0;120.2;29
041;120.0;120.4;33
042;120.2;120.4;38
043;120.4;120.4;39
044;120.6;120.4;38
045;120.8;120.4;37
046;121.0;120.4;33
047;121.2;120.4;25
048;121.4;120.4;31
049;121.6;120.4;36
050;121.8;120.4;37
051;122.0;120.4;32
052;122.2;120.4;25
053;122.4;120.4;30
054;122.6;120.4;30
055;122.8;120.4;29
056;123.0;120.4;25
057;123.2;120.4;34
058;123.4;120.4;33
059;123.6;120.4;30
060;123.8;120.4;26
061;123.8;120.6;29
062;123.6;120.6;30
063;123.4;120.6;32
064;123.2;120.6;32
065;123.0;120.6;32
066;122.8;120.6;31
067;122.6;120.6;25
068;122.4;120.6;30
069;122.2;120.6;32
070;122.0;120.6;31
071;121.8;120.6;30
072;121.6;120.6;28
073;121.4;120.6;28
074;121.2;120.6;28
075;121.0;120.6;32
076;120.8;120.6;32
077;120.6;120.6;33
078;120.4;120.6;36
079;120.2;120.6;38
080;120.0;120.6;35
081;120.0;120.8;29
082;120.2;120.8;30
083;120.4;120.8;28
084;120.6;120.8;25
085;120.8;120.8;23
086;121.0;120.8;30
087;121.2;120.8;35
088;121.4;120.8;34
089;121.6;120.8;34
090;121.8;120.8;30
091;122.0;120.8;30
092;122.2;120.8;33
093;122.4;120.8;33
094;122.6;120.8;30
095;122.8;120.8;30
096;123.0;120.8;31
097;123.2;120.8;32
098;123.4;120.8;33
099;123.6;120.8;33
100;123.8;120.8;30
101;123.8;121.0;28
102;123.6;121.0;34
103;123.4;121.0;34
104;123.2;121.0;32
105;123.0;121.0;29
106;122.8;121.0;22
107;122.6;121.0;27
108;122.4;121.0;27
109;122.2;121.0;27
110;122.0;121.0;29
111;121.8;121.0;32
112;121.6;121.0;34
113;121.4;121.0;35
114;121.2;121.0;36
115;121.0;121.0;33
116;120.8;121.0;29
117;120.6;121.0;29
118;120.4;121.0;28
119;120.2;121.0;20
120;120.0;121.0;23
121;120.0;121.2;30
122;120.2;121.2;30
123;120.4;121.2;34
124;120.6;121.2;35
125;120.8;121.2;35
126;121.0;121.2;33
127;121.2;121.2;33
128;121.4;121.2;30
129;121.6;121.2;28
130;121.8;121.2;29
131;122.0;121.2;28
132;122.2;121.2;29
133;122.4;121.2;32
134;122.6;121.2;32
135;122.8;121.2;29
136;123.0;121.2;31
137;123.2;121.2;29
138;123.4;121.2;30
139;123.6;121.2;35
140;123.8;121.2;32
141;123.8;121.4;28
142;123.6;121.4;26
143;123.4;121.4;23
144;123.2;121.4;28
145;123.0;121.4;31
146;122.8;121.4;35
147;122.6;121.4;36
148;122.4;121.4;35
149;122.2;121.4;31
150;122.0;121.4;29
151;121.8;121.4;32
152;121.6;121.4;25
153;121.4;121.4;24
154;121.2;121.4;29
155;121.0;121.4;32
156;120.8;121.4;36
157;120.6;121.4;37
158;120.4;121.4;37
159;120.2;121.4;36
160;120.0;121.4;34
161;120.0;121.6;33
162;120.2;121.6;35
163;120.4;121.6;37
164;120.6;121.6;37
165;120.8;121.6;37
166;121.0;121.6;34
167;121.2;121.6;29
168;121.4;121.6;27
169;121.6;121.6;29
170;121.8;121.6;33
171;122.0;121.6;31
172;122.2;121.6;26
173;122.4;121.6;29
174;122.6;121.6;30
175;122.8;121.6;31
176;123.0;121.6;31
177;123.2;121.6;29
178;123.4;121.6;32
179;123.6;121.6;32
180;123.8;121.6;29
181;123.8;121.8;33
182;123.6;121.8;29
183;123.4;121.8;30
184;123.2;121.8;29
185;123.0;121.8;24
186;122.8;121.8;20
187;122.6;121.8;24
188;122.4;121.8;23
189;122.2;121.8;25
190;122.0;121.8;28
191;121.8;121.8;29
192;121.6;121.8;31
193;121.4;121.8;34
194;121.2;121.8;31
195;121.0;121.8;34
196;120.8;121.8;34
197;120.6;121.8;30
198;120.4;121.8;28
199;120.2;121.8;26
200;120.0;121.8;26
201;120.0;122.0;29
202;120.2;122.0;32
203;120.4;122.0;32
204;120.6;122.0;29
205;120.8;122.0;27
206;121.0;122.0;28
207;121.2;122.0;29
208;121.4;122.0;37
209;121.6;122.0;36
210;121.8;122.0;29
211;122.0;122.0;30
212;122.2;122.0;31
213;122.4;122.0;34
214;122.6;122.0;33
215;122.8;122.0;28
216;123.0;122.0;24
217;123.2;122.0;25
218;123.4;122.0;27
219;123.6;122.0;25
220;123.8;122.0;31
221;123.8;122.2;26
222;123.6;122.2;30
223;123.4;122.2;32
224;123.2;122.2;32
225;123.0;122.2;28
226;122.8;122.2;31
227;122.6;122.2;34
228;122.4;122.2;36
229;122.2;122.2;34
230;122.0;122.2;31
231;121.8;122.2;30
232;121.6;122.2;35
233;121.4;122.2;37
234;121.2;122.2;34
235;121.0;122.2;29
236;120.8;122.2;29
237;120.6;122.2;32
238;120.4;122.2;36
239;120.2;122.2;36
240;120.0;122.2;32
241;120.0;122.4;26
242;120.2;122.4;30
243;120.4;122.4;32
244;120.6;122.4;32
245;120.8;122.4;30
246;121.0;122.4;29
247;121.2;122.4;31
248;121.4;122.4;35
249;121.6;122.4;35
250;121.8;122.4;28
251;122.0;122.4;26
252;122.2;122.4;35
253;122.4;122.4;36
254;122.6;122.4;32
255;122.8;122.4;31
256;123.0;122.4;32
257;123.2;122.4;35
258;123.4;122.4;35
259;123.6;122.4;32
260;123.8;122.4;29
261;123.8;122.6;31
262;123.6;122.6;29
263;123.4;122.6;32
264;123.2;122.6;35
265;123.0;122.6;34
266;122.8;122.6;31
267;122.6;122.6;33
268;122.4;122.6;36
269;122.2;122.6;35
270;122.0;122.6;30
271;121.8;122.6;31
272;121.6;122.6;34
273;121.4;122.6;29
274;121.2;122.6;29
275;121.0;122.6;30
276;120.8;122.6;28
277;120.6;122.6;29
278;120.4;122.6;30
279;120.2;122.6;27
280;120.0;122.6;29
281;120.0;122.8;34
282;120.2;122.8;30
283;120.4;122.8;32
284;120.6;122.8;28
285;120.8;122.8;27
286;121.0;122.8;33
287;121.2;122.8;34
288;121.4;122.8;34
289;121.6;122.8;36
290;121.8;122.8;37
291;122.0;122.8;35
292;122.2;122.8;32
293;122.4;122.8;35
294;122.6;122.8;34
295;122.8;122.8;30
296;123.0;122.8;34
297;123.2;122.8;33
298;123.4;122.8;29
299;123.6;122.8;29
300;123.8;122.8;30
301;123.8;123.0;30
302;123.6;123.0;30
303;123.4;123.0;27
304;123.2;123.0;26
305;123.0;123.0;25
306;122.8;123.0;22
307;122.6;123.0;30
308;122.4;123.0;29
309;122.2;123.0;29
310;122.0;123.0;36
311;121.8;123.0;37
312;121.6;123.0;33
313;121.4;123.0;33
314;121.2;123.0;33
315;121.0;123.0;31
316;120.8;123.0;32
317;120.6;123.0;31
318;120.4;123.0;27
319;120.2;123.0;30
320;120.0;123.0;35
321;120.0;123.2;33
322;120.2;123.2;30
323;120.4;123.2;31
324;120.6;123.2;34
325;120.8;123.2;35
326;121.0;123.2;33
327;121.2;123.2;28
328;121.4;123.2;27
329;121.6;123.2;28
330;121.8;123.2;28
331;122.0;123.2;28
332;122.2;123.2;25
333;122.4;123.2;23
334;122.6;123.2;21
335;122.8;123.2;28
336;123.0;123.2;28
337;123.2;123.2;28
338;123.4;123.2;27
339;123.6;123.2;28
