_P_;_x_;_y_;z_offset_0.01mm
001;045;050;19
002;055;050;9
003;065;050;16
004;075;050;22
005;085;050;12
006;095;050;17
007;105;050;16
008;115;050;25
009;125;050;26
010;135;050;21
011;145;050;27
012;155;050;27
013;165;050;18
014;175;050;28
015;185;050;27
016;195;050;26
017;205;050;31
018;215;050;29
019;225;050;27
020;235;050;29
021;235;060;20
022;225;060;25
023;215;060;32
024;205;060;26
025;195;060;23
026;185;060;23
027;175;060;26
028;165;060;21
029;155;060;23
030;145;060;25
031;135;060;20
032;125;060;19
033;115;060;20
034;105;060;20
035;095;060;15
036;085;060;20
037;075;060;20
038;065;060;20
039;055;060;8
040;045;060;13
041;045;070;18
042;055;070;18
043;065;070;20
044;075;070;12
045;085;070;17
046;095;070;20
047;105;070;13
048;115;070;18
049;125;070;17
050;135;070;20
051;145;070;25
052;155;070;20
053;165;070;18
054;175;070;26
055;185;070;20
056;195;070;23
057;205;070;22
058;215;070;25
059;225;070;25
060;235;070;25
061;235;080;27
062;225;080;24
063;215;080;17
064;205;080;24
065;195;080;24
066;185;080;29
067;175;080;23
068;165;080;22
069;155;080;28
070;145;080;20
071;135;080;24
072;125;080;12
073;115;080;17
074;105;080;18
075;095;080;18
076;085;080;12
077;075;080;15
078;065;080;18
079;055;080;13
080;045;080;10
081;045;090;13
082;055;090;9
083;065;090;12
084;075;090;15
085;085;090;20
086;095;090;10
087;105;090;15
088;115;090;24
089;125;090;18
090;135;090;25
091;145;090;24
092;155;090;23
093;165;090;17
094;175;090;20
095;185;090;20
096;195;090;15
097;205;090;24
098;215;090;20
099;225;090;21
100;235;090;20
101;235;100;25
102;225;100;20
103;215;100;17
104;205;100;29
105;195;100;15
106;185;100;24
107;175;100;20
108;165;100;24
109;155;100;24
110;145;100;25
111;135;100;21
112;125;100;22
113;115;100;23
114;105;100;15
115;095;100;13
116;085;100;14
117;075;100;19
118;065;100;16
119;055;100;19
120;045;100;16
121;045;110;14
122;055;110;18
123;065;110;19
124;075;110;18
125;085;110;21
126;095;110;13
127;105;110;18
128;115;110;12
129;125;110;20
130;135;110;32
131;145;110;23
132;155;110;20
133;165;110;25
134;175;110;24
135;185;110;24
136;195;110;18
137;205;110;20
138;215;110;21
139;225;110;20
140;235;110;21
141;235;120;15
142;225;120;19
143;215;120;21
144;205;120;24
145;195;120;21
146;185;120;16
147;175;120;23
148;165;120;20
149;155;120;20
150;145;120;26
151;135;120;22
152;125;120;15
153;115;120;12
154;105;120;16
155;095;120;10
156;085;120;12
157;075;120;19
158;065;120;12
159;055;120;16
160;045;120;17
161;045;130;8
162;055;130;11
163;065;130;19
164;075;130;19
165;085;130;17
166;095;130;22
167;105;130;16
168;115;130;14
169;125;130;17
170;135;130;23
171;145;130;23
172;155;130;18
173;165;130;24
174;175;130;14
