_P_;_x_;_y_;z_offset_0.01mm
001;045;050;
002;055;050;
003;065;050;
004;075;050;
005;085;050;
006;095;050;
007;105;050;
008;115;050;
009;125;050;
010;135;050;
011;145;050;
012;155;050;
013;165;050;
014;175;050;
015;185;050;
016;195;050;
017;205;050;
018;215;050;
019;225;050;
020;235;050;
021;235;060;
022;225;060;
023;215;060;
024;205;060;
025;195;060;
026;185;060;
027;175;060;
028;165;060;
029;155;060;
030;145;060;
031;135;060;
032;125;060;
033;115;060;
034;105;060;
035;095;060;
036;085;060;
037;075;060;
038;065;060;
039;055;060;
040;045;060;
041;045;070;
042;055;070;
043;065;070;
044;075;070;
045;085;070;
046;095;070;
047;105;070;
048;115;070;
049;125;070;
050;135;070;
051;145;070;
052;155;070;
053;165;070;
054;175;070;
055;185;070;
056;195;070;
057;205;070;
058;215;070;
059;225;070;
060;235;070;
061;235;080;
062;225;080;
063;215;080;
064;205;080;
065;195;080;
066;185;080;
067;175;080;
068;165;080;
069;155;080;
070;145;080;
071;135;080;
072;125;080;
073;115;080;
074;105;080;
075;095;080;
076;085;080;
077;075;080;
078;065;080;
079;055;080;
080;045;080;
081;045;090;
082;055;090;
083;065;090;
084;075;090;
085;085;090;
086;095;090;
087;105;090;
088;115;090;
089;125;090;
090;135;090;
091;145;090;
092;155;090;
093;165;090;
094;175;090;
095;185;090;
096;195;090;
097;205;090;
098;215;090;
099;225;090;
100;235;090;
101;235;100;
102;225;100;
103;215;100;
104;205;100;
105;195;100;
106;185;100;
107;175;100;
108;165;100;
109;155;100;
110;145;100;
111;135;100;
112;125;100;
113;115;100;
114;105;100;
115;095;100;
116;085;100;
117;075;100;
118;065;100;
119;055;100;
120;045;100;
121;045;110;
122;055;110;
123;065;110;
124;075;110;
125;085;110;
126;095;110;
127;105;110;
128;115;110;
129;125;110;
130;135;110;
131;145;110;
132;155;110;
133;165;110;
134;175;110;
135;185;110;
136;195;110;
137;205;110;
138;215;110;
139;225;110;
140;235;110;
141;235;120;
142;225;120;
143;215;120;
144;205;120;
145;195;120;
146;185;120;
147;175;120;
148;165;120;
149;155;120;
150;145;120;
151;135;120;
152;125;120;
153;115;120;
154;105;120;
155;095;120;
156;085;120;
